,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
0,1.0427962238886234e-05,12536.028464942128,Reactome_2016,FGB;FGA;FGG,666.6666666666667,0,0,3/15,6.815661594043289e-09,GRB2:SOS provides linkage to MAPK signaling for Integrins_Homo sapiens_R-HSA-354194
1,5.213981119443117e-06,12536.028464942128,Reactome_2016,FGB;FGA;FGG,666.6666666666667,0,0,3/15,6.815661594043289e-09,p130Cas linkage to MAPK signaling for integrins_Homo sapiens_R-HSA-372708
2,1.1755861004916303e-05,7993.440617512388,Reactome_2016,FGB;FGA;FGG,454.54545454545456,0,0,3/22,2.305070785277706e-08,Common Pathway of Fibrin Clot Formation_Homo sapiens_R-HSA-140875
3,1.6737127392484578e-05,6275.781393444254,Reactome_2016,FGB;FGA;FGG,370.3703703703704,0,0,3/27,4.3757195797345285e-08,Integrin alphaIIb beta3 signaling_Homo sapiens_R-HSA-354192
4,3.5529046853076626e-05,4315.877047779015,Reactome_2016,FGB;FGA;FGG,270.2702702702703,0,0,3/37,1.1610799625188443e-07,Platelet Aggregation (Plug Formation)_Homo sapiens_R-HSA-76009
5,3.2141747192745064e-05,4180.68904798713,Reactome_2016,FGB;FGA;FGG,263.15789473684214,0,0,3/38,1.2604606742252965e-07,MAP2K and MAPK activation_Homo sapiens_R-HSA-5674135
6,2.9842582060198054e-05,4052.99669782972,Reactome_2016,FGB;FGA;FGG,256.41025641025647,0,0,3/39,1.3653468916430487e-07,Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877
7,0.00013644773275085992,2112.4105074066965,Reactome_2016,FGB;FGA;FGG,149.2537313432836,0,0,3/67,7.134521973901174e-07,Integrin cell surface interactions_Homo sapiens_R-HSA-216083
8,0.00047259283769260146,1218.3880748087308,Reactome_2016,FGB;FGA;FGG,95.23809523809523,0,0,3/105,2.7799578687800086e-06,Platelet degranulation_Homo sapiens_R-HSA-114608
9,0.0004894048690333337,1150.250761764771,Reactome_2016,FGB;FGA;FGG,90.9090909090909,0,0,3/110,3.1987246342047962e-06,Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005
10,0.00434051075576607,441.4847231371048,Reactome_2016,FGB;FGA;FGG,42.5531914893617,0,0,3/235,3.12062864793639e-05,GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812
11,0.003978801526118897,441.4847231371048,Reactome_2016,FGB;FGA;FGG,42.5531914893617,0,0,3/235,3.12062864793639e-05,SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336
12,0.0036727398702635977,441.4847231371048,Reactome_2016,FGB;FGA;FGG,42.5531914893617,0,0,3/235,3.12062864793639e-05,SOS-mediated signalling_Homo sapiens_R-HSA-112412
13,0.003410401308101912,441.4847231371048,Reactome_2016,FGB;FGA;FGG,42.5531914893617,0,0,3/235,3.12062864793639e-05,SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347
14,0.003183041220895118,441.4847231371048,Reactome_2016,FGB;FGA;FGG,42.5531914893617,0,0,3/235,3.12062864793639e-05,RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001
15,0.0030221807578050875,439.0767328432681,Reactome_2016,FGB;FGA;FGG,42.372881355932215,0,0,3/236,3.160450465678523e-05,FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700
16,0.00284440541911067,439.0767328432681,Reactome_2016,FGB;FGA;FGG,42.372881355932215,0,0,3/236,3.160450465678523e-05,FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712
17,0.002686382895826745,439.0767328432681,Reactome_2016,FGB;FGA;FGG,42.372881355932215,0,0,3/236,3.160450465678523e-05,FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706
18,0.0025449943223621787,439.0767328432681,Reactome_2016,FGB;FGA;FGG,42.372881355932215,0,0,3/236,3.160450465678523e-05,FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693
19,0.00251067407311397,431.98722793723414,Reactome_2016,FGB;FGA;FGG,41.84100418410042,0,0,3/239,3.281926892959438e-05,ARMS-mediated activation_Homo sapiens_R-HSA-170984
20,0.002391118164870448,431.98722793723414,Reactome_2016,FGB;FGA;FGG,41.84100418410042,0,0,3/239,3.281926892959438e-05,Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706
21,0.002311060717424024,429.6678848265725,Reactome_2016,FGB;FGA;FGG,41.66666666666667,0,0,3/240,3.3230938420476165e-05,Frs2-mediated activation_Homo sapiens_R-HSA-170968
22,0.002238190723489548,427.36996890772133,Reactome_2016,FGB;FGA;FGG,41.49377593360996,0,0,3/241,3.364600434003896e-05,MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996
23,0.002171610607163088,425.0931965079059,Reactome_2016,FGB;FGA;FGG,41.32231404958678,0,0,3/242,3.4064480112362164e-05,Prolonged ERK activation events_Homo sapiens_R-HSA-169893
24,0.002110566404601136,422.8372888409851,Reactome_2016,FGB;FGA;FGG,41.1522633744856,0,0,3/243,3.4486379160149276e-05,Signaling by Leptin_Homo sapiens_R-HSA-2586552
25,0.0020796525423525587,418.3869764299465,Reactome_2016,FGB;FGA;FGG,40.81632653061224,0,0,3/245,3.534050071971669e-05,Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526
26,0.002027122502274131,416.19203766095626,Reactome_2016,FGB;FGA;FGG,40.650406504065046,0,0,3/246,3.577275004013172e-05,Signalling to RAS_Homo sapiens_R-HSA-167044
27,0.0020025346393170774,411.861293763978,Reactome_2016,FGB;FGA;FGG,40.322580645161295,0,0,3/248,3.6647692745672e-05,VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921
28,0.001951147632790984,168.60908276391137,Reactome_2016,CRP;FGB;FGA;FGG,16.522098306484924,0,0,4/807,3.698253683067878e-05,Innate Immune System_Homo sapiens_R-HSA-168249
29,0.001960426180726038,403.42932630772077,Reactome_2016,FGB;FGA;FGG,39.68253968253968,0,0,3/252,3.8439729033843876e-05,Interleukin-2 signaling_Homo sapiens_R-HSA-451927
30,0.0019197352966391719,401.3677382878254,Reactome_2016,FGB;FGA;FGG,39.52569169960474,0,0,3/253,3.889659751360414e-05,Signalling to ERKs_Homo sapiens_R-HSA-187687
31,0.001859743568619198,401.3677382878254,Reactome_2016,FGB;FGA;FGG,39.52569169960474,0,0,3/253,3.889659751360414e-05,"Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002"
32,0.0019788557447616146,385.50773796682677,Reactome_2016,FGB;FGA;FGG,38.31417624521073,0,0,3/261,4.2681202337995615e-05,"Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988"
33,0.002032454301134838,376.134349271876,Reactome_2016,FGB;FGA;FGG,37.593984962406026,0,0,3/266,4.516565113632973e-05,NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165
34,0.0023746778898069754,347.01655225918665,Reactome_2016,FGB;FGA;FGG,35.3356890459364,0,0,3/283,5.4322696825649766e-05,Extracellular matrix organization_Homo sapiens_R-HSA-1474244
35,0.002333098091326549,345.4247294933341,Reactome_2016,FGB;FGA;FGG,35.211267605633815,0,0,3/284,5.489642567827174e-05,IRS-mediated signalling_Homo sapiens_R-HSA-112399
36,0.002270041386155561,345.4247294933341,Reactome_2016,FGB;FGA;FGG,35.211267605633815,0,0,3/284,5.489642567827174e-05,MAPK family signaling cascades_Homo sapiens_R-HSA-5683057
37,0.0022805677348265467,340.7236137689892,Reactome_2016,FGB;FGA;FGG,34.84320557491289,0,0,3/287,5.6641551583927305e-05,Insulin receptor signalling cascade_Homo sapiens_R-HSA-74751
38,0.002245227287697175,339.1808989386604,Reactome_2016,FGB;FGA;FGG,34.72222222222222,0,0,3/288,5.723128380404563e-05,IGF1R signaling cascade_Homo sapiens_R-HSA-2428924
39,0.0021890966055047455,339.1808989386604,Reactome_2016,FGB;FGA;FGG,34.72222222222222,0,0,3/288,5.723128380404563e-05,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)_Homo sapiens_R-HSA-2404192
40,0.0021357040053704827,339.1808989386604,Reactome_2016,FGB;FGA;FGG,34.72222222222222,0,0,3/288,5.723128380404563e-05,IRS-related events triggered by IGF1R_Homo sapiens_R-HSA-2428928
41,0.0021064839533161987,337.6501207742816,Reactome_2016,FGB;FGA;FGG,34.602076124567475,0,0,3/289,5.782504969887605e-05,FCERI mediated MAPK activation_Homo sapiens_R-HSA-2871796
42,0.0025595442689652892,306.7443393879887,Reactome_2016,FGB;FGA;FGG,32.154340836012864,0,0,3/311,7.193490429118133e-05,Signaling by Insulin receptor_Homo sapiens_R-HSA-74752
43,0.002722837121529514,295.4660707301582,Reactome_2016,FGB;FGA;FGG,31.25,0,0,3/320,7.830381264529322e-05,VEGFA-VEGFR2 Pathway_Homo sapiens_R-HSA-4420097
44,0.002787906600334672,289.50230190333843,Reactome_2016,FGB;FGA;FGG,30.76923076923077,0,0,3/325,8.199725295101976e-05,Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557
45,0.002802806740903338,286.02181628987057,Reactome_2016,FGB;FGA;FGG,30.48780487804878,0,0,3/328,8.426739221016572e-05,Signaling by VEGF_Homo sapiens_R-HSA-194138
46,0.002768101883607751,284.8774725507223,Reactome_2016,FGB;FGA;FGG,30.395136778115507,0,0,3/329,8.503319511736229e-05,Downstream signaling of activated FGFR2_Homo sapiens_R-HSA-5654696
47,0.002710433094365923,284.8774725507223,Reactome_2016,FGB;FGA;FGG,30.395136778115507,0,0,3/329,8.503319511736229e-05,Downstream signaling of activated FGFR4_Homo sapiens_R-HSA-5654716
48,0.0026551181332564143,284.8774725507223,Reactome_2016,FGB;FGA;FGG,30.395136778115507,0,0,3/329,8.503319511736229e-05,Downstream signaling of activated FGFR3_Homo sapiens_R-HSA-5654708
49,0.0026255890699420762,283.7409093780462,Reactome_2016,FGB;FGA;FGG,30.303030303030305,0,0,3/330,8.580356437719204e-05,Signaling by ERBB4_Homo sapiens_R-HSA-1236394
50,0.0026207416025772184,281.49082314773636,Reactome_2016,FGB;FGA;FGG,30.12048192771084,0,0,3/332,8.735805341924063e-05,Signaling by FGFR4_Homo sapiens_R-HSA-5654743
51,0.00257034272560458,281.49082314773636,Reactome_2016,FGB;FGA;FGG,30.12048192771084,0,0,3/332,8.735805341924063e-05,Downstream signaling of activated FGFR1_Homo sapiens_R-HSA-5654687
52,0.002544482345247515,280.3771516874275,Reactome_2016,FGB;FGA;FGG,30.030030030030037,0,0,3/333,8.814219888765901e-05,Signaling by FGFR3_Homo sapiens_R-HSA-5654741
53,0.0025648011404340782,277.0807529548496,Reactome_2016,FGB;FGA;FGG,29.761904761904763,0,0,3/336,9.052239319179096e-05,Signaling by FGFR1_Homo sapiens_R-HSA-5654736
54,0.0026311181674365373,271.73126667389204,Reactome_2016,FGB;FGA;FGG,29.325513196480948,0,0,3/341,9.458267922157488e-05,Downstream signal transduction_Homo sapiens_R-HSA-186763
55,0.002652238374375121,268.6053095811748,Reactome_2016,FGB;FGA;FGG,29.06976744186047,0,0,3/344,9.707539148039659e-05,DAP12 signaling_Homo sapiens_R-HSA-2424491
56,0.0028609487551717982,257.6499640319955,Reactome_2016,FGB;FGA;FGG,28.16901408450704,0,0,3/355,0.00010658436538875328,Signaling by EGFR_Homo sapiens_R-HSA-177929
57,0.002906689866328655,253.85293459794391,Reactome_2016,FGB;FGA;FGG,27.855153203342624,0,0,3/359,0.00011018824329873333,DAP12 interactions_Homo sapiens_R-HSA-2172127
58,0.002904920961305481,251.989879981756,Reactome_2016,FGB;FGA;FGG,27.700831024930753,0,0,3/361,0.00011201982791962314,Signaling by FGFR2_Homo sapiens_R-HSA-5654738
59,0.002927515947383189,249.2384469019433,Reactome_2016,FGB;FGA;FGG,27.472527472527474,0,0,3/364,0.0001148045469562035,Signaling by PDGF_Homo sapiens_R-HSA-186797
60,0.002926716148498909,247.4323334187799,Reactome_2016,FGB;FGA;FGG,27.322404371584703,0,0,3/366,0.00011668606866564278,Signaling by FGFR_Homo sapiens_R-HSA-190236
61,0.0030702333101161232,240.42487574415867,Reactome_2016,FGB;FGA;FGG,26.73796791443851,0,0,3/374,0.00012441468315503245,NGF signalling via TRKA from the plasma membrane_Homo sapiens_R-HSA-187037
62,0.0034732536452660016,225.8304021021646,Reactome_2016,FGB;FGA;FGG,25.510204081632647,0,0,3/392,0.00014301632656977655,Signaling by Interleukins_Homo sapiens_R-HSA-449147
63,0.0034970924363235856,223.54337517068356,Reactome_2016,FGB;FGA;FGG,25.31645569620253,0,0,3/395,0.00014628360517954868,Fc epsilon receptor (FCERI) signaling_Homo sapiens_R-HSA-2454202
64,0.00448834054094933,198.26175879682967,Reactome_2016,FGB;FGA;FGG,23.14814814814815,0,0,3/432,0.00019068113409261855,Gastrin-CREB signalling pathway via PKC and MAPK_Homo sapiens_R-HSA-881907
65,0.004987360476017668,187.64926098335135,Reactome_2016,FGB;FGA;FGG,22.22222222222223,0,0,3/450,0.0002151410401419386,Signalling by NGF_Homo sapiens_R-HSA-166520
66,0.007315863212869809,156.23379884674125,Reactome_2016,FGB;FGA;FGG,19.417475728155342,0,0,3/515,0.00032036786618449485,Axon guidance_Homo sapiens_R-HSA-422475
67,0.008842154201631494,142.06050821128053,Reactome_2016,FGB;FGA;FGG,18.115942028985508,0,0,3/552,0.0003929846311836219,Hemostasis_Homo sapiens_R-HSA-109582
68,0.010445697300224164,66.02440540189384,Reactome_2016,CRP;FGB;FGA;FGG,8.618832148243914,0,0,4/1547,0.00047108046648069746,Immune System_Homo sapiens_R-HSA-168256
69,0.012083717799743827,120.97458292391987,Reactome_2016,FGB;FGA;FGG,16.12903225806452,0,0,3/620,0.0005528498339752078,Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215
70,0.02383855068712477,86.60043726849169,Reactome_2016,FGB;FGA;FGG,12.722646310432573,0,0,3/786,0.001106233397899254,Developmental Biology_Homo sapiens_R-HSA-1266738
