Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	TNFR2 non-canonical NF-kB pathway_Homo sapiens_R-HSA-5668541	2/95	0.0002211842446071416	0.33841189424892665	0	0	84.21052631578947	708.7591172854321	EDA;TNF
Reactome_2016	TNFR1-mediated ceramide production_Homo sapiens_R-HSA-5626978	1/6	0.0014992198216206946	1.0	0	0	666.6666666666666	4335.206950068183	TNF
Reactome_2016	TNFR1-induced proapoptotic signaling_Homo sapiens_R-HSA-5357786	1/13	0.0032460508750897826	1.0	0	0	307.6923076923077	1763.1741959534563	TNF
Reactome_2016	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest_Homo sapiens_R-HSA-6804114	1/18	0.0044922927083929694	1.0	0	0	222.22222222222217	1201.1982404612277	BAX
Reactome_2016	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release_Homo sapiens_R-HSA-6803204	1/19	0.00474139160939957	1.0	0	0	210.5263157894737	1126.6157048174514	BAX
Reactome_2016	TNFs bind their physiological receptors_Homo sapiens_R-HSA-5669034	1/24	0.005986138987596017	1.0	0	0	166.66666666666666	853.0514418407834	EDA
Reactome_2016	TNFR1-induced NFkappaB signaling pathway_Homo sapiens_R-HSA-5357956	1/26	0.006483689369798885	1.0	0	0	153.84615384615384	775.1485512989827	TNF
Reactome_2016	Regulation of TNFR1 signaling_Homo sapiens_R-HSA-5357905	1/31	0.007726694289035995	1.0	0	0	129.03225806451613	627.4934393296883	TNF
Reactome_2016	Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215	2/620	0.009015458422306716	1.0	0	0	12.903225806451614	60.75889771044693	EDA;TNF
Reactome_2016	TNF signaling_Homo sapiens_R-HSA-75893	1/41	0.010208973756811941	1.0	0	0	97.56097560975608	447.2671380870211	TNF
Reactome_2016	Intrinsic Pathway for Apoptosis_Homo sapiens_R-HSA-109606	1/42	0.01045692833454581	1.0	0	0	95.23809523809523	434.33243064158194	BAX
Reactome_2016	TP53 Regulates Transcription of Cell Death Genes_Homo sapiens_R-HSA-5633008	1/43	0.010704833236771684	1.0	0	0	93.02325581395347	422.0520869889116	BAX
Reactome_2016	Death Receptor Signalling_Homo sapiens_R-HSA-73887	1/48	0.011943612841183376	1.0	0	0	83.33333333333333	368.96321948108385	TNF
Reactome_2016	TP53 Regulates Transcription of Cell Cycle Genes_Homo sapiens_R-HSA-6791312	1/48	0.011943612841183376	1.0	0	0	83.33333333333333	368.96321948108385	BAX
Reactome_2016	Transcriptional regulation of white adipocyte differentiation_Homo sapiens_R-HSA-381340	1/79	0.019596384739634504	1.0	0	0	50.63291139240506	199.10937629460773	TNF
Reactome_2016	Apoptosis_Homo sapiens_R-HSA-109581	1/163	0.04009489722901885	1.0	0	0	24.539877300613494	78.93266758069667	BAX
Reactome_2016	Programmed Cell Death_Homo sapiens_R-HSA-5357801	1/166	0.04082059338391608	1.0	0	0	24.09638554216868	77.07394180984201	BAX
Reactome_2016	Immune System_Homo sapiens_R-HSA-168256	2/1547	0.051079105497847235	1.0	0	0	5.171299288946346	15.381407936701008	EDA;TNF
Reactome_2016	Transcriptional Regulation by TP53_Homo sapiens_R-HSA-3700989	1/348	0.08403244152755387	1.0	0	0	11.494252873563216	28.466118919963638	BAX
Reactome_2016	Developmental Biology_Homo sapiens_R-HSA-1266738	1/786	0.1816666010339424	1.0	0	0	5.089058524173028	8.679807299074398	TNF
Reactome_2016	Generic Transcription Pathway_Homo sapiens_R-HSA-212436	1/812	0.1871889650900708	1.0	0	0	4.9261083743842375	8.254367802189769	BAX
Reactome_2016	Gene Expression_Homo sapiens_R-HSA-74160	1/1631	0.3464803658392772	1.0	0	0	2.452483139178418	2.5994583107349314	BAX
Reactome_2016	Signal Transduction_Homo sapiens_R-HSA-162582	1/2465	0.4819772570271489	1.0	0	0	1.6227180527383367	1.184354321518445	TNF
